# Harmanec et al.    Jet-like structures in Beta Lyr
#
# Table 4  V, B and U differential photoelectric observations of
#         Beta Lyr, 9 Lyr and 8 Lyr. Respective comparison stars
#	 are identified by their HD number in column `HDcomp.'
#	 Observing stations are identified by their numerical
#	 codes used in the Ondrejov data archives (see column
#	 `site' in Table 3 and the text), w is the weight of each
#	 observation.
#
#  Table 4a: Observations of Beta Lyr
#
#     Comparison stars used :
#
#         HD          star    V      B-V    U-B
#
#      172044       HR 6997  5.423  -.094  -.518
#      176437     Gamma Lyr  3.253  -.071  -.052
#
# HJD-2400000  w      V      B      U      B-V    U-B HDcomp site
  36375.7308 1.50  3.404  3.412 99.999   .008 99.999 172044  34
  36375.7433 1.50  3.414  3.418  2.841   .004  -.577 172044  34
  36375.7551 1.50  3.403  3.411  2.842   .008  -.569 172044  34
  36375.7656 1.50  3.403  3.409  2.837   .006  -.572 172044  34
  36375.7829 1.50  3.411  3.413  2.843   .002  -.570 172044  34
  36375.7975 1.50  3.402  3.400  2.827  -.002  -.573 172044  34
  36375.8100 1.50  3.408  3.401  2.823  -.007  -.578 172044  34
  36375.8239 1.50  3.404  3.401  2.836  -.003  -.565 172044  34
  36375.8357 1.50  3.393  3.395  2.825   .002  -.570 172044  34
  36375.8468 1.50  3.400  3.398  2.835  -.002  -.563 172044  34
  36375.8586 1.50  3.398  3.396  2.823  -.002  -.573 172044  34
  36375.8697 1.50  3.396  3.404  2.846   .008  -.558 172044  34
  36375.8857 1.50  3.386  3.397  2.837   .011  -.560 172044  34
  36375.8982 1.50  3.386  3.399  2.841   .013  -.558 172044  34
  36375.9156 1.50  3.384  3.390  2.830   .006  -.560 172044  34
  36375.9267 1.50  3.387  3.389  2.820   .002  -.569 172044  34
  36375.9406 1.50  3.389  3.391  2.823   .002  -.568 172044  34
  36375.9517 1.50  3.375  3.377  2.813   .002  -.564 172044  34
  36375.9649 1.50  3.385  3.383  2.820  -.002  -.563 172044  34
  36376.7295 1.50  3.376  3.350  2.790  -.026  -.560 172044  34
  36376.7406 1.50  3.373  3.341  2.797  -.032  -.544 172044  34
  36376.7524 1.50  3.366  3.339  2.775  -.027  -.564 172044  34
  36376.7642 1.50  3.358  3.335  2.774  -.023  -.561 172044  34
  36376.7746 1.50  3.356  3.342  2.767  -.014  -.575 172044  34
  36376.7892 1.50  3.353  3.331  2.754  -.022  -.577 172044  34
  36376.7989 1.50  3.357  3.336  2.769  -.021  -.567 172044  34
  36376.8121 1.50  3.356  3.358  2.770   .002  -.588 172044  34
  36376.8218 1.50  3.354  3.335  2.725  -.019  -.610 172044  34
  36376.8357 1.50  3.366  3.333  2.773  -.033  -.560 172044  34
  36376.8482 1.50  3.356  3.334  2.764  -.022  -.570 172044  34
  36376.8565 1.50  3.353  3.338  2.770  -.015  -.568 172044  34
  36376.8683 1.50  3.374  3.367  2.805  -.007  -.562 172044  34
  36376.8808 1.50  3.361  3.345  2.771  -.016  -.574 172044  34
  36376.8940 1.50  3.351  3.330  2.754  -.021  -.576 172044  34
  36376.9065 1.50  3.351  3.332  2.786  -.019  -.546 172044  34
  36376.9183 1.50  3.360  3.342  2.778  -.018  -.564 172044  34
  36376.9285 1.50  3.354  3.349  2.777  -.005  -.572 172044  34
  36376.9426 1.50  3.372  3.356  2.770  -.016  -.586 172044  34
  36376.9545 1.50  3.363  3.353  2.778  -.010  -.575 172044  34
  36376.9635 1.50  3.365  3.358  2.769  -.007  -.589 172044  34
  36376.9774 1.50  3.367  3.356  2.773  -.011  -.583 172044  34
  36377.7218 1.50  3.468  3.461  2.914  -.007  -.547 172044  34
  36377.7288 1.50  3.469  3.470  2.938   .001  -.532 172044  34
  36377.7399 1.50  3.477  3.469  2.924  -.008  -.545 172044  34
  36377.7482 1.50  3.494  3.479  2.940  -.015  -.539 172044  34
  36377.7565 1.50  3.473  3.454  2.878  -.019  -.576 172044  34
  36377.7614 1.50  3.484  3.471  2.943  -.013  -.528 172044  34
  36377.7683 1.50  3.491  3.485  2.938  -.006  -.547 172044  34
  36377.7753 1.50  3.485  3.474  2.933  -.011  -.541 172044  34
  36377.7822 1.50  3.489  3.481  2.947  -.008  -.534 172044  34
  36377.7885 1.50  3.478  3.476  2.933  -.002  -.543 172044  34
  36377.7961 1.50  3.492  3.482  2.934  -.010  -.548 172044  34
  36377.8031 1.50  3.489  3.490  2.946   .001  -.544 172044  34
  36377.8114 1.50  3.501  3.492  2.952  -.009  -.540 172044  34
  36377.8190 1.50  3.487  3.483  2.942  -.004  -.541 172044  34
  36377.8274 1.50  3.498  3.491  2.952  -.007  -.539 172044  34
  36377.8343 1.50  3.502  3.509  2.958   .007  -.551 172044  34
  36377.8413 1.50  3.498  3.493  2.960  -.005  -.533 172044  34
  36377.8482 1.50  3.491  3.492  2.945   .001  -.547 172044  34
  36377.8551 1.50  3.486  3.493  2.946   .007  -.547 172044  34
  36377.8621 1.50  3.499  3.497  2.956  -.002  -.541 172044  34
  36377.8683 1.50  3.496  3.495  2.960  -.001  -.535 172044  34
  36377.8746 1.50  3.496  3.501  2.964   .005  -.537 172044  34
  36377.8829 1.50  3.498  3.499  2.960   .001  -.539 172044  34
  36377.8892 1.50  3.504  3.502  2.959  -.002  -.543 172044  34
  36377.8968 1.50  3.509  3.513  2.974   .004  -.539 172044  34
  36377.9038 1.50  3.504  3.506  2.977   .002  -.529 172044  34
