# CALIBRATION DONE VIA bohlin-MODEL of VEGA
# ----------------------------------- NOTES ON INDIVIDUAL SYSTEMS  -------
# ----------------------------------- can be important!!!          -------
#
# Johnson calibration from Asagio A&A card (Vega from UBVRIJKLMNH Photo-electric Catalogue, Morel et al., 1978)
# Landolt UBVRI from synphot http://www.stsci.edu/hst/HST_overview/documents/synphot/c034.html#335184
#    references in synphot are Bohlin & Gilliland (2004), Maíz Apellániz (2006), Holberg & Bergeron (2006)
# TD1 calibration derived myself
# SDSS calibration from site above, but VEGA mags from Holberg & Bergeron 2006, compatible with http://www.sdss.org/dr6/algorithms/sdssUBVRITransform.html
# GALEX from http://galexgi.gsfc.nasa.gov/docs/galex/FAQ/counts_background.html
#   ---> make sure to take the GALEX calibration from the literature, this is much safer I guess
# GAIA Calibrations are pre-launch and thus only for simulation purposes
# MIPS from Rieke et al, 2006 or Engelbrach (ssc.spitzer.caltech.edu/mips/calib)
#      Be careful, IRAC and MIPS calibrations are not for the 'weighted average'
#      flux, but com readily from the calibration tables.
#      Here, the lambda_eff is calculated as the weighted average of the
#      response curve
# BESSEL response curves from CHORIZOS, zeropoints from Bessel, 1990
# IPHAS is defined as 0 magnitude for r', i' and Ha band for Vega (Drew et al., 2005)
# UVEX is defined as 0 magnitude in all bands (Paul Groot, priv. comm.)
# WISE zeropoints defined in Wright 2010 ""zeropoints on the Vega system in the WISE passbands of Flam = 8.180e−15, 2.415e−15, 6.515e−17 & 5.090e−18 W/cm2/µm, which convert""
# STROMGREN calibration from Maiz-Apellaniz (2007) (used to be from synphot user guide and earlier from Asagio A&A card)
#    ----> used to be STROMGREN   U   3.25e-09   0   0   0   1.288   1.06679608688e-08   
#                     STROMGREN   V   7.18e-09   0   0   0   0.040   7.57261249786e-09   
#                     STROMGREN   B   5.81e-09   0   0   0   -0.120   5.11028586313e-09   
#                     STROMGREN   Y   3.70e-09   0   0   0   -0.123   3.20363998209e-09
#    ----> SYNPHOT: STROMGREN   U   3.25e-09   0   0   0   1.459   1.24876700135e-08   
#                   STROMGREN   V   7.18e-09   0   0   0   0.206   8.82359841247e-09   
#                   STROMGREN   B   5.81e-09   0   0   0   0.045   5.949016791e-09   
#                   STROMGREN   Y   3.70e-09   0   0   0   0.038   3.71572620327e-09
#    ----> MAIZ-APELLANIZ: STROMGREN   U   -   0   0   0   1.432   -
#                          STROMGREN   V   -   0   0   0   0.179   -
#                          STROMGREN   B   -   0   0   0   0.018   -
#                          STROMGREN   Y   -   0   0   0   0.014   -
#=================================
# THE FOLLOWING SYSTEMS HAVE BEEN THOROUGHLY CHECKED (both zeropoints and magnitude)
#
#- STROMGREN (Maiz-Apellaniz 2007, Chorizos)
#- 2MASS     (Maiz-Apellaniz 2007, Chorizos)
#- SDSS      (Maiz-Apellaniz 2007, Chorizos)
#- TYCHO2    (Maiz-Apellaniz 2007, Chorizos)
#- COUSINS   (Maiz-Apellaniz 2007, Chorizos)
#- LANDOLT   (SYNPHOT, but confusion between B2 and B3 (same zeropoint assumed))
#- GENEVA    (Rufener database and GCPD)
#- BESSELL   (Bessel, 1990)  #-- but based on old Vega model (1980, see paper): Use colors (otherwise ZP(B)=-0.102)
#
#
# THE FOLLOWING SYSTEMS ARE VERY UNCERTAIN
#- JOHNSON
#=================================
#passband         eff_wave type transmission   vegamag vegamag_lit ABmag ABmag_lit STmag STmag_lit       Flam0 Flam0_units Flam0_lit        Fnu0 Fnu0_units   Fnu0_lit source                                                               
#|S50                  >f8 |S3  >f8                >f8       int32   >f8     int32   >f8     int32         >f8 |S50            int32         >f8 |S50            int32 |S100                                                                
 2MASS.H           16497.1 CCD  0.0              0.009           1   nan         0   nan         0 1.13535e-10 erg/s/cm2/AA         0 1.03036e-20 erg/s/cm2/Hz        0 Maiz-Appellaniz2007                                                  
 2MASS.J           12412.1 CCD  0.0             -0.021           1   nan         0   nan         0 3.11048e-10 erg/s/cm2/AA         0 1.59361e-20 erg/s/cm2/Hz        0 Maiz-Appellaniz2007                                                  
 2MASS.KS          21909.2 CCD  0.0                  0           1   nan         0   nan         0 4.27871e-11 erg/s/cm2/AA         0 6.68263e-21 erg/s/cm2/Hz        0 Maiz-Appellaniz2007                                                  
 AKARI.L15          156841 BOL  0.0                nan           0   nan         0   nan         0 2.00796e-14 erg/s/cm2/AA         0 1.67264e-22 erg/s/cm2/Hz        0 nan                                                                  
 AKARI.L18W         186321 BOL  0.0                nan           0   nan         0   nan         0 1.03826e-14 erg/s/cm2/AA         0 1.23954e-22 erg/s/cm2/Hz        0 nan                                                                  
 AKARI.L24          229866 BOL  0.0                nan           0   nan         0   nan         0 4.33162e-15 erg/s/cm2/AA         0 7.69291e-23 erg/s/cm2/Hz        0 nan                                                                  
 AKARI.N160    1.61215e+06 BOL  0.0                nan           0   nan         0   nan         0 1.71999e-18 erg/s/cm2/AA         0 1.49962e-24 erg/s/cm2/Hz        0 nan                                                                  
 AKARI.N2          23493.5 BOL  0.0                nan           0   nan         0   nan         0 3.19441e-11 erg/s/cm2/AA         0  6.0077e-21 erg/s/cm2/Hz        0 nan                                                                  
 AKARI.N3          31990.5 BOL  0.0                nan           0   nan         0   nan         0 9.98454e-12 erg/s/cm2/AA         0 3.45587e-21 erg/s/cm2/Hz        0 nan                                                                  
 AKARI.N4          43480.4 BOL  0.0                nan           0   nan         0   nan         0  3.0884e-12 erg/s/cm2/AA         0 1.97489e-21 erg/s/cm2/Hz        0 nan                                                                  
 AKARI.N60          649413 BOL  0.0                nan           0   nan         0   nan         0 6.83648e-17 erg/s/cm2/AA         0 9.75466e-24 erg/s/cm2/Hz        0 nan                                                                  
 AKARI.S11          105329 BOL  0.0                nan           0   nan         0   nan         0 9.78412e-14 erg/s/cm2/AA         0 3.69336e-22 erg/s/cm2/Hz        0 nan                                                                  
 AKARI.S7          71510.5 BOL  0.0                nan           0   nan         0   nan         0 4.45022e-13 erg/s/cm2/AA         0 7.71253e-22 erg/s/cm2/Hz        0 nan                                                                  
 AKARI.S9W         87264.6 BOL  0.0                nan           0   nan         0   nan         0 2.10269e-13 erg/s/cm2/AA         0 5.49591e-22 erg/s/cm2/Hz        0 nan                                                                  
 AKARI.WIDEL   1.45288e+06 BOL  0.0                nan           0   nan         0   nan         0 2.67019e-18 erg/s/cm2/AA         0 1.90997e-24 erg/s/cm2/Hz        0 nan                                                                  
 AKARI.WIDES        836666 BOL  0.0                nan           0   nan         0   nan         0 2.61537e-17 erg/s/cm2/AA         0 6.32301e-24 erg/s/cm2/Hz        0 nan                                                                  
 ANS.15N              1545 CCD  0.0          -0.675376           0   nan         0     0         1 6.76317e-09 erg/s/cm2/AA         0  5.3858e-21 erg/s/cm2/Hz        0 Wesselius1980                                                        
 ANS.15W              1549 CCD  0.0          -0.687251           0   nan         0     0         1 6.83755e-09 erg/s/cm2/AA         0 5.48931e-21 erg/s/cm2/Hz        0 Wesselius1980                                                        
 ANS.18            1805.68 CCD  0.0          -0.568371           0   nan         0     0         1 6.12842e-09 erg/s/cm2/AA         0 6.66704e-21 erg/s/cm2/Hz        0 Wesselius1980                                                        
