0 1 2
0 2 3
0 3 4
0 4 5
0 5 6
0 6 1
1 7 2
7 8 2
8 9 2
9 3 2
9 10 3
10 11 3
11 4 3
8 12 9
12 13 9
13 10 9
13 14 10
14 15 10
15 11 10
12 16 13
16 17 13
17 14 13
17 18 14
18 19 14
19 15 14
16 20 17
20 21 17
21 18 17
21 22 18
22 23 18
23 19 18
19 24 15
24 25 15
25 11 15
23 26 19
26 24 19
25 27 11
27 4 11
27 28 4
28 5 4
25 29 27
29 30 27
30 28 27
24 31 25
31 29 25
26 32 24
32 31 24
32 33 31
33 34 31
34 29 31
34 35 29
35 30 29
33 36 34
36 37 34
37 35 34
37 38 35
38 39 35
39 30 35
39 40 30
40 28 30
40 41 28
41 5 28
41 42 5
42 6 5
39 43 40
43 44 40
44 41 40
38 45 39
45 43 39
44 46 41
46 42 41
46 47 42
47 48 42
48 6 42
48 49 6
49 1 6
49 50 1
50 7 1
44 51 46
51 52 46
52 47 46
43 53 44
53 51 44
45 54 43
54 53 43
38 55 45
55 56 45
56 54 45
37 57 38
57 55 38
36 58 37
58 57 37
54 59 53
59 60 53
60 51 53
60 61 51
61 52 51
56 62 54
62 59 54
57 63 55
63 64 55
64 56 55
58 65 57
65 63 57
64 66 56
66 62 56
36 67 58
67 68 58
68 65 58
33 69 36
69 67 36
32 70 33
70 69 33
26 71 32
71 70 32
23 72 26
72 71 26
22 73 23
73 72 23
68 74 65
74 75 65
75 63 65
75 76 63
76 64 63
76 77 64
77 66 64
75 78 76
78 79 76
79 77 76
74 80 75
80 78 75
80 81 78
81 82 78
82 79 78
74 83 80
83 84 80
84 81 80
68 85 74
85 83 74
67 86 68
86 85 68
69 87 67
87 86 67
70 88 69
88 87 69
71 89 70
89 88 70
72 90 71
90 89 71
73 91 72
91 90 72
22 92 73
92 93 73
93 91 73
21 94 22
94 92 22
20 95 21
95 94 21
89 96 88
96 97 88
97 87 88
97 98 87
98 86 87
98 99 86
99 85 86
99 100 85
100 83 85
100 101 83
101 84 83
90 102 89
102 96 89
91 103 90
103 102 90
93 104 91
104 103 91
97 105 98
105 106 98
106 99 98
106 107 99
107 100 99
107 108 100
108 101 100
96 109 97
109 105 97
102 110 96
110 109 96
103 111 102
111 110 102
104 112 103
112 111 103
108 113 101
113 114 101
114 84 101
114 115 84
115 81 84
115 116 81
116 82 81
93 117 104
117 118 104
118 112 104
92 119 93
119 117 93
94 120 92
120 119 92
95 121 94
121 120 94
120 122 119
122 123 119
123 117 119
123 124 117
124 118 117
121 125 120
125 122 120
110 126 109
126 127 109
127 105 109
127 128 105
128 106 105
128 129 106
129 107 106
129 130 107
130 108 107
130 131 108
131 113 108
111 132 110
132 126 110
112 133 111
133 132 111
118 134 112
134 133 112
124 135 118
135 134 118
123 136 124
136 137 124
137 135 124
122 138 123
138 136 123
125 139 122
139 138 122
139 140 138
140 141 138
141 136 138
141 142 136
142 137 136
127 143 128
143 144 128
144 129 128
126 145 127
145 143 127
144 146 129
146 130 129
146 147 130
147 131 130
132 148 126
148 145 126
133 149 132
149 148 132
134 150 133
150 149 133
135 151 134
151 150 134
137 152 135
152 151 135
142 153 137
153 152 137
141 154 142
154 155 142
155 153 142
140 156 141
156 154 141
147 157 131
157 158 131
158 113 131
158 159 113
159 114 113
159 160 114
160 115 114
160 161 115
161 116 115
158 162 159
162 163 159
163 160 159
157 164 158
164 162 158
163 165 160
165 161 160
148 166 145
166 167 145
167 143 145
167 168 143
168 144 143
149 169 148
169 166 148
150 170 149
170 169 149
151 171 150
171 170 150
152 172 151
172 171 151
153 173 152
173 172 152
155 174 153
174 173 153
168 175 144
175 146 144
175 176 146
176 147 146
176 177 147
177 157 147
177 178 157
178 164 157
178 179 164
179 180 164
180 162 164
180 181 162
181 163 162
181 182 163
182 165 163
180 183 181
183 184 181
184 182 181
179 185 180
185 183 180
167 186 168
186 187 168
187 175 168
166 188 167
188 186 167
187 189 175
189 176 175
189 190 176
190 177 176
190 191 177
191 178 177
191 192 178
192 179 178
192 193 179
193 185 179
169 194 166
194 188 166
170 195 169
195 194 169
171 196 170
196 195 170
172 197 171
197 196 171
173 198 172
198 197 172
174 199 173
199 198 173
193 200 185
200 201 185
201 183 185
201 202 183
202 184 183
194 203 188
203 204 188
204 186 188
204 205 186
205 187 186
195 206 194
206 203 194
196 207 195
207 206 195
197 208 196
208 207 196
198 209 197
209 208 197
199 210 198
210 209 198
205 211 187
211 189 187
211 212 189
212 190 189
212 213 190
213 191 190
213 214 191
214 192 191
214 215 192
215 193 192
215 216 193
216 200 193
204 217 205
217 218 205
218 211 205
203 219 204
219 217 204
218 220 211
220 212 211
220 221 212
221 213 212
221 222 213
222 214 213
222 223 214
223 215 214
223 224 215
224 216 215
206 225 203
225 219 203
207 226 206
226 225 206
208 227 207
227 226 207
209 228 208
228 227 208
210 229 209
229 228 209
199 230 210
230 231 210
231 229 210
174 232 199
232 230 199
155 233 174
233 232 174
154 234 155
234 233 155
156 235 154
235 234 154
233 236 232
236 237 232
237 230 232
234 238 233
238 236 233
235 239 234
239 238 234
237 240 230
240 231 230
140 241 156
241 242 156
242 235 156
242 243 235
243 239 235
139 244 140
244 241 140
125 245 139
245 244 139
121 246 125
246 245 125
95 247 121
247 246 121
20 248 95
248 247 95
16 249 20
249 248 20
12 250 16
250 249 16
8 251 12
251 250 12
7 252 8
252 251 8
50 253 7
253 252 7
239 254 238
254 255 238
255 236 238
243 256 239
256 254 239
255 257 236
257 237 236
257 258 237
258 240 237
258 259 240
259 260 240
260 231 240
260 261 231
261 229 231
261 262 229
262 228 229
262 263 228
263 227 228
263 264 227
264 226 227
264 265 226
265 225 226
265 266 225
266 219 225
266 267 219
267 217 219
267 268 217
268 218 217
268 269 218
269 220 218
269 270 220
270 221 220
270 271 221
271 222 221
271 272 222
272 223 222
272 273 223
273 224 223
262 274 263
274 275 263
275 264 263
275 276 264
276 265 264
276 277 265
277 266 265
277 278 266
278 267 266
278 279 267
279 268 267
261 280 262
280 274 262
279 281 268
281 269 268
281 282 269
282 270 269
282 283 270
283 271 270
283 284 271
284 272 271
284 285 272
285 273 272
260 286 261
286 280 261
259 287 260
287 286 260
275 288 276
288 289 276
289 277 276
289 290 277
290 278 277
290 291 278
291 279 278
291 292 279
292 281 279
292 293 281
293 282 281
274 294 275
294 288 275
293 295 282
295 283 282
295 296 283
296 284 283
296 297 284
297 285 284
280 298 274
298 294 274
286 299 280
299 298 280
287 300 286
300 299 286
298 301 294
301 302 294
302 288 294
302 303 288
303 289 288
303 304 289
304 290 289
304 305 290
305 291 290
305 306 291
306 292 291
306 307 292
307 293 292
307 308 293
308 295 293
308 309 295
309 296 295
309 310 296
310 297 296
299 311 298
311 301 298
300 312 299
312 311 299
304 313 305
313 314 305
314 306 305
314 315 306
315 307 306
315 316 307
316 308 307
316 317 308
317 309 308
317 318 309
318 310 309
303 319 304
319 313 304
302 320 303
320 319 303
301 321 302
321 320 302
311 322 301
322 321 301
312 323 311
323 322 311
314 324 315
324 325 315
325 316 315
325 326 316
326 317 316
326 327 317
327 318 317
313 328 314
328 324 314
319 329 313
329 328 313
320 330 319
330 329 319
321 331 320
331 330 320
322 332 321
332 331 321
323 333 322
333 332 322
325 334 326
334 335 326
335 327 326
324 336 325
336 334 325
328 337 324
337 336 324
329 338 328
338 337 328
330 339 329
339 338 329
331 340 330
340 339 330
332 341 331
341 340 331
333 342 332
342 341 332
339 343 338
343 344 338
344 337 338
344 345 337
345 336 337
345 346 336
346 334 336
346 347 334
347 335 334
340 348 339
348 343 339
341 349 340
349 348 340
342 350 341
350 349 341
333 351 342
351 352 342
352 350 342
323 353 333
353 351 333
312 354 323
354 353 323
300 355 312
355 354 312
287 356 300
356 355 300
259 357 287
357 356 287
258 358 259
358 357 259
257 359 258
359 358 258
255 360 257
360 359 257
254 361 255
361 360 255
256 362 254
362 361 254
350 363 349
363 364 349
364 348 349
352 365 350
365 363 350
364 366 348
366 343 348
366 367 343
367 344 343
367 368 344
368 345 344
368 369 345
369 346 345
369 370 346
370 347 346
370 371 347
371 372 347
372 335 347
372 373 335
373 327 335
373 374 327
374 318 327
374 375 318
375 310 318
375 376 310
376 297 310
376 377 297
377 285 297
377 378 285
378 273 285
378 379 273
379 224 273
379 380 224
380 216 224
380 381 216
381 200 216
381 382 200
382 201 200
382 383 201
383 202 201
374 384 375
384 385 375
385 376 375
385 386 376
386 377 376
386 387 377
387 378 377
387 388 378
388 379 378
388 389 379
389 380 379
373 390 374
390 384 374
389 391 380
391 381 380
391 392 381
392 382 381
392 393 382
393 383 382
372 394 373
394 390 373
371 395 372
395 394 372
354 396 353
396 397 353
397 351 353
397 398 351
398 352 351
355 399 354
399 396 354
356 400 355
400 399 355
357 401 356
401 400 356
358 402 357
402 401 357
398 403 352
403 365 352
359 404 358
404 402 358
360 405 359
405 404 359
361 406 360
406 405 360
362 407 361
407 406 361
397 408 398
408 409 398
409 403 398
396 410 397
410 408 397
399 411 396
411 410 396
400 412 399
412 411 399
401 413 400
413 412 400
402 414 401
414 413 401
404 415 402
415 414 402
405 416 404
416 415 404
406 417 405
417 416 405
407 418 406
418 417 406
362 419 407
419 420 407
420 418 407
256 421 362
421 419 362
243 422 256
422 421 256
242 423 243
423 422 243
241 424 242
424 423 242
244 425 241
425 424 241
245 426 244
426 425 244
246 427 245
427 426 245
247 428 246
428 427 246
248 429 247
429 428 247
249 430 248
430 429 248
250 431 249
431 430 249
251 432 250
432 431 250
252 433 251
433 432 251
253 434 252
434 433 252
411 435 410
435 436 410
436 408 410
436 437 408
437 409 408
412 438 411
