# Pickles 1998
# Habets 1981
# Solar units except Teff (K), rotperiod in days
#SpType            teff          lumi         rad      mass      Mbol    rotperiod
#|S9            float64       float64     float64   float64   float64      float64
    O5V    39810.717055 288404.435081   11.318573 35.670492 -8.900000     3.013050
    O9V    35481.338923 104713.321276    8.586016 23.256834 -7.800000     2.285632
    B0V    28183.829313  18197.089650    5.672724 12.243704 -5.900000     1.434597
    B1V    22387.211386   6025.622703    5.173586 10.616792 -4.700000     1.308368
    B3V    19054.607180   1995.271203    4.109526  7.433521 -3.500000     1.039274
    B57V   14125.375446    549.543322    3.924566  6.922051 -2.100000     0.992499
    B8V    11748.975549    239.884361    3.747932  6.445774 -1.200000     0.947829
    B9V    10715.193052    151.356799    3.579247  6.002267 -0.700000     0.905170
    A0V     9549.925860     60.256227    2.843097  4.202585  0.300000     0.821716
    A2V     8912.509381     28.840444    2.258352  2.942509  1.100000     0.652712
    A3V     8790.225168     23.988436    2.117345  2.663018  1.300000     0.611958
    A5V     8491.804750     16.595943    1.887086  2.228306  1.700000     0.545408
    A7V     8053.784412     11.481587    1.744985  1.973982  2.100000     0.504338
    F0V     7211.074792      5.011895    1.438109  1.463229  3.000000     1.212296
    F2V     6776.415076      3.801911    1.418377  1.432268  3.300000     1.195663
    F5V     6531.305526      3.162292    1.392489  1.392004  3.500000     1.173839
    wF5V    6606.934480      2.398844    1.185200  1.084629  3.800000     0.999099
    F6V     6280.583588      2.398844    1.311571  1.268799  3.800000     1.105627
    rF6V    6109.420249      3.801911    1.744985  1.973982  3.300000     1.470987
    F8V     6039.486294      1.995271    1.293575  1.241952  4.000000     1.090457
    wF8V    6137.620052      1.513568    1.090917  0.954012  4.300000     0.919621
    rF8V    5767.664634      2.630280    1.628515  1.773795  3.700000     1.372804
    G0V     5807.644175      1.659594    1.275827  1.215673  4.200000     5.377479
    wG0V    5847.900841      1.047133    0.999520  0.833163  4.700000     4.212876
    rG0V    5636.376558      2.398844    1.628515  1.773795  3.800000     6.864022
    G2V     5636.376558      1.148159    1.126657  1.002826  4.600000     4.748743
    G5V     5584.701947      1.047133    1.095952  0.960837  4.700000     4.619327
